,PROD.InvenLevel,PROD.DailyChange,MAT_1.InvenLevel,MAT_1.DailyChange,Remaining_Demand,Action
0,20,20,21,20,20,[1]
1,21,21,20,19,33,[5]
2,22,21,20,20,32,[5]
3,24,22,23,23,30,[0]
4,26,22,26,23,28,[1]
5,28,22,24,18,26,[5]
6,30,22,23,19,24,[0]
7,20,10,26,23,34,
8,20,20,21,20,34,
